name,x,y,z,region
FidNz,0.0021619718309859193,0.10816197183098591,-0.04492605633802816,Orbital/Eye
FidT9,-0.07583802816901408,0.0031619718309859194,-0.05492605633802816,Lateral-Inferior/Jaw
FidT10,0.07516197183098591,0.006161971830985919,-0.05292605633802816,Lateral-Inferior/Jaw
E1,-0.0018380281690140805,0.09916197183098592,0.03407394366197184,Prefrontal
E2,0.006161971830985919,0.10816197183098591,0.019073943661971838,Prefrontal
E3,0.013161971830985919,0.09616197183098592,0.03707394366197184,Prefrontal
E4,-0.0018380281690140805,0.08616197183098592,0.04907394366197184,Prefrontal
E5,-0.01883802816901408,0.09416197183098592,0.036073943661971836,Prefrontal
E6,-0.011838028169014081,0.10716197183098591,0.01807394366197184,Prefrontal
E7,-0.0008380281690140805,0.11316197183098592,0.002073943661971839,Orbital/Eye
E8,0.01616197183098592,0.11216197183098592,0.003073943661971839,Orbital/Eye
E9,0.02416197183098592,0.10316197183098592,0.023073943661971838,Prefrontal
E10,0.02916197183098592,0.09016197183098593,0.03907394366197184,Prefrontal
E11,0.01416197183098592,0.08316197183098592,0.05107394366197184,Prefrontal
E12,-0.0008380281690140805,0.07216197183098592,0.05907394366197184,Prefrontal
E13,-0.01883802816901408,0.08116197183098592,0.04907394366197184,Prefrontal
E14,-0.03483802816901408,0.08616197183098592,0.03707394366197184,Prefrontal
E15,-0.03083802816901408,0.10216197183098592,0.019073943661971838,Prefrontal
E16,-0.020838028169014082,0.11116197183098592,0.004073943661971839,Orbital/Eye
E17,-0.009838028169014081,0.11216197183098592,-0.01792605633802816,Orbital/Eye
E18,0.00816197183098592,0.11216197183098592,-0.01792605633802816,Orbital/Eye
E19,0.026161971830985918,0.11016197183098592,-0.010926056338028161,Orbital/Eye
E20,0.03516197183098592,0.10716197183098591,0.007073943661971839,Orbital/Eye
E21,0.04116197183098592,0.09516197183098592,0.02607394366197184,Prefrontal
E22,0.04416197183098592,0.07816197183098592,0.04207394366197184,Prefrontal
E23,0.030161971830985918,0.07216197183098592,0.05407394366197184,Prefrontal
E24,0.01716197183098592,0.06616197183098592,0.06207394366197184,Prefrontal
E25,0.0011619718309859195,0.05416197183098592,0.07007394366197184,Prefrontal
E26,-0.01783802816901408,0.06416197183098592,0.06207394366197184,Prefrontal
E27,-0.03483802816901408,0.06816197183098592,0.052073943661971836,Prefrontal
E28,-0.04883802816901408,0.07416197183098593,0.03707394366197184,Prefrontal
E29,-0.04583802816901408,0.09016197183098593,0.02107394366197184,Prefrontal
E30,-0.04083802816901408,0.10216197183098592,7.394366197183899e-05,Orbital/Eye
E31,-0.02683802816901408,0.10916197183098592,-0.014926056338028161,Orbital/Eye
E32,0.0021619718309859193,0.11116197183098592,-0.03792605633802816,Orbital/Eye
E33,0.05416197183098592,0.09416197183098592,0.004073943661971839,Orbital/Eye
E34,0.03116197183098592,0.05216197183098592,0.06507394366197183,Prefrontal
E35,-0.03283802816901408,0.05016197183098592,0.06407394366197183,Prefrontal
E36,-0.05483802816901408,0.08816197183098592,-0.000926056338028161,Orbital/Eye
E37,0.06316197183098592,0.06516197183098592,-0.06192605633802816,Orbital/Eye
E38,0.06716197183098592,0.05016197183098592,-0.08192605633802816,Inferior-Frontal/Jaw
E39,0.07016197183098592,0.05016197183098592,-0.06192605633802816,Inferior-Frontal/Jaw
E40,0.07216197183098592,0.05416197183098592,-0.041926056338028164,Inferior-Frontal/Jaw
E41,0.06616197183098592,0.07116197183098592,-0.03792605633802816,Orbital/Eye
E42,0.04816197183098592,0.07416197183098593,-0.09392605633802815,Orbital/Eye
E43,0.05216197183098592,0.05616197183098592,-0.10492605633802816,Inferior-Frontal/Jaw
E44,0.06216197183098592,0.04116197183098592,-0.09892605633802816,Inferior-Frontal/Jaw
E45,0.07316197183098593,0.030161971830985918,-0.07592605633802817,Lateral-Inferior/Jaw
E46,0.07416197183098593,0.02916197183098592,-0.05792605633802816,Lateral-Inferior/Jaw
E47,0.07616197183098591,0.03616197183098592,-0.03992605633802816,Lateral-Inferior/Jaw
E48,0.07716197183098591,0.04816197183098592,-0.02292605633802816,Inferior-Frontal/Jaw
E49,0.07016197183098592,0.06616197183098592,-0.019926056338028162,Orbital/Eye
E50,0.06216197183098592,0.08016197183098592,-0.01792605633802816,Orbital/Eye
E51,0.04616197183098592,0.10016197183098592,-0.012926056338028161,Orbital/Eye
E52,0.03516197183098592,0.08516197183098592,-0.07392605633802816,Orbital/Eye
E53,0.05716197183098592,0.02516197183098592,-0.11392605633802816,Lateral-Inferior/Jaw
E54,0.07816197183098592,0.01916197183098592,-0.03892605633802816,Lateral-Inferior/Jaw
E55,0.08116197183098592,0.030161971830985918,-0.02292605633802816,Temporal
E56,0.07716197183098591,0.03316197183098592,0.03207394366197184,Temporal
E57,0.07716197183098591,0.04816197183098592,0.014073943661971839,Fronto-Temporal
E58,0.08416197183098592,0.030161971830985918,0.014073943661971839,Temporal
E59,0.08116197183098592,0.01716197183098592,0.036073943661971836,Temporal
E60,0.06816197183098592,0.03516197183098592,0.04807394366197184,Temporal
E61,0.07016197183098592,0.05016197183098592,0.03207394366197184,Fronto-Temporal
E62,0.06816197183098592,0.06516197183098592,0.02007394366197184,Fronto-Temporal
E63,0.07516197183098591,0.05716197183098592,-0.003926056338028161,Fronto-Temporal
E64,0.08216197183098592,0.04016197183098592,-0.005926056338028161,Inferior-Frontal/Jaw
E65,0.08616197183098592,0.022161971830985918,-0.005926056338028161,Temporal
E66,0.08616197183098592,0.013161971830985919,0.01707394366197184,Temporal
E67,0.08316197183098592,0.0001619718309859195,0.03807394366197184,Temporal
E68,0.07316197183098593,0.013161971830985919,0.052073943661971836,Temporal
E69,0.05616197183098592,0.026161971830985918,0.06207394366197184,Central
E70,0.05616197183098592,0.04916197183098592,0.05307394366197184,Prefrontal
E71,0.05816197183098592,0.06416197183098592,0.04007394366197184,Prefrontal
E72,0.05716197183098592,0.08116197183098592,0.02407394366197184,Prefrontal
E73,0.06616197183098592,0.07416197183098593,7.394366197183899e-05,Orbital/Eye
E74,0.08416197183098592,0.011161971830985919,-0.02292605633802816,Temporal
E75,0.08816197183098592,0.0021619718309859193,-0.000926056338028161,Temporal
E76,0.08616197183098592,-0.00783802816901408,0.01707394366197184,Temporal
E77,0.08316197183098592,-0.016838028169014082,0.04007394366197184,Temporal
E78,0.07516197183098591,-0.004838028169014081,0.05607394366197184,Temporal
E79,0.05916197183098592,0.005161971830985919,0.06707394366197184,Central
E80,0.04316197183098592,0.02116197183098592,0.07107394366197184,Central
E81,0.04516197183098592,0.04116197183098592,0.06307394366197185,Prefrontal
E82,0.04416197183098592,0.06116197183098592,0.05507394366197184,Prefrontal
E83,0.08616197183098592,-0.01483802816901408,7.394366197183899e-05,Temporal
E84,0.05916197183098592,-0.01583802816901408,0.07107394366197184,Central
E85,0.06316197183098592,-0.03683802816901408,-0.06492605633802816,Cerebellar/Neck
E86,0.07616197183098591,0.01416197183098592,-0.07192605633802816,Lateral-Inferior/Jaw
E87,0.07216197183098592,0.0031619718309859194,-0.08792605633802816,Lateral-Inferior/Jaw
E88,0.06916197183098592,-0.011838028169014081,-0.08892605633802816,Lateral-Inferior/Jaw
E89,0.06216197183098592,-0.02683802816901408,-0.08192605633802816,Lateral-Inferior/Jaw
E90,0.055161971830985916,-0.04983802816901408,-0.06492605633802816,Cerebellar/Neck
E91,0.06816197183098592,-0.03783802816901408,-0.04692605633802816,Cerebellar/Neck
E92,0.07616197183098591,-0.02783802816901408,-0.03192605633802816,Lateral-Inferior/Jaw
E93,0.06816197183098592,0.02516197183098592,-0.09092605633802817,Lateral-Inferior/Jaw
E94,0.06316197183098592,0.00816197183098592,-0.10392605633802816,Lateral-Inferior/Jaw
E95,0.05816197183098592,-0.02583802816901408,-0.09992605633802816,Lateral-Inferior/Jaw
E96,0.05416197183098592,-0.04183802816901408,-0.08392605633802816,Cerebellar/Neck
E97,0.04416197183098592,-0.06083802816901408,-0.06492605633802816,Cerebellar/Neck
E98,0.05716197183098592,-0.05483802816901408,-0.04492605633802816,Cerebellar/Neck
E99,0.06816197183098592,-0.04683802816901408,-0.03192605633802816,Cerebellar/Neck
E100,0.07316197183098593,-0.04383802816901408,-0.01392605633802816,Temporal
E101,0.08016197183098592,-0.02583802816901408,-0.015926056338028162,Temporal
E102,0.04716197183098592,-0.04683802816901408,-0.10092605633802816,Cerebellar/Neck
E103,0.05616197183098592,-0.06283802816901408,-0.03092605633802816,Cerebellar/Neck
E104,0.05416197183098592,-0.06583802816901409,0.03907394366197184,Occipital
E105,0.06716197183098592,-0.05183802816901408,0.04107394366197184,Occipital
E106,0.06416197183098592,-0.06083802816901408,0.023073943661971838,Occipital
E107,0.04916197183098592,-0.07283802816901408,0.02407394366197184,Occipital
E108,0.03916197183098592,-0.07083802816901408,0.044073943661971836,Occipital
E109,0.05116197183098592,-0.05683802816901408,0.05707394366197184,Parietal
E110,0.06316197183098592,-0.04283802816901408,0.05807394366197184,Temporal
E111,0.07616197183098591,-0.03683802816901408,0.04207394366197184,Temporal
E112,0.07516197183098591,-0.04583802816901408,0.02207394366197184,Temporal
E113,0.07016197183098592,-0.053838028169014084,0.004073943661971839,Occipital
E114,0.05716197183098592,-0.06783802816901408,0.004073943661971839,Occipital
E115,0.04216197183098592,-0.07783802816901408,0.006073943661971839,Occipital
E116,0.032161971830985916,-0.07883802816901408,0.027073943661971838,Occipital
E117,0.022161971830985918,-0.07683802816901408,0.04507394366197184,Occipital
E118,0.03116197183098592,-0.06383802816901409,0.06107394366197184,Occipital
E119,0.04116197183098592,-0.04883802816901408,0.07107394366197184,Parietal
E120,0.05216197183098592,-0.03483802816901408,0.07207394366197184,Central
E121,0.07216197183098592,-0.02383802816901408,0.05707394366197184,Temporal
E122,0.08216197183098592,-0.02683802816901408,0.02007394366197184,Temporal
E123,0.07816197183098592,-0.03583802816901408,0.003073943661971839,Temporal
E124,0.06416197183098592,-0.05883802816901408,-0.012926056338028161,Occipital
E125,0.04916197183098592,-0.07283802816901408,-0.010926056338028161,Occipital
E126,0.03116197183098592,-0.08383802816901408,-0.009926056338028162,Occipital
E127,0.022161971830985918,-0.08483802816901408,0.008073943661971839,Occipital
E128,0.013161971830985919,-0.08283802816901407,0.02907394366197184,Occipital
E129,0.0011619718309859195,-0.07883802816901408,0.04507394366197184,Occipital
E130,0.00916197183098592,-0.06983802816901408,0.060073943661971836,Occipital
E131,0.02016197183098592,-0.05683802816901408,0.07207394366197184,Parietal
E132,0.02816197183098592,-0.03883802816901408,0.08007394366197183,Parietal
E133,0.0021619718309859193,-0.08783802816901408,0.00907394366197184,Occipital
E134,-0.0018380281690140805,-0.05783802816901408,0.07307394366197184,Parietal
E135,0.0021619718309859193,-0.07583802816901408,-0.06292605633802816,Cerebellar/Neck
E136,0.011161971830985919,-0.08083802816901409,-0.04592605633802816,Cerebellar/Neck
E137,0.01916197183098592,-0.07583802816901408,-0.06592605633802816,Cerebellar/Neck
E138,0.0031619718309859194,-0.07383802816901408,-0.07792605633802815,Cerebellar/Neck
E139,-0.01483802816901408,-0.07483802816901408,-0.06492605633802816,Cerebellar/Neck
E140,-0.006838028169014081,-0.07883802816901408,-0.04592605633802816,Cerebellar/Neck
E141,0.0021619718309859193,-0.08683802816901408,-0.02892605633802816,Occipital
E142,0.022161971830985918,-0.08283802816901407,-0.02992605633802816,Occipital
E143,0.02716197183098592,-0.07783802816901408,-0.04692605633802816,Cerebellar/Neck
E144,0.032161971830985916,-0.07083802816901408,-0.06492605633802816,Cerebellar/Neck
E145,0.026161971830985918,-0.06783802816901408,-0.08692605633802816,Cerebellar/Neck
E146,0.0031619718309859194,-0.07183802816901408,-0.09092605633802817,Cerebellar/Neck
E147,-0.01883802816901408,-0.06983802816901408,-0.08592605633802816,Cerebellar/Neck
E148,-0.03083802816901408,-0.06883802816901408,-0.06792605633802816,Cerebellar/Neck
E149,-0.02683802816901408,-0.07683802816901408,-0.048926056338028164,Cerebellar/Neck
E150,-0.01883802816901408,-0.08383802816901408,-0.02992605633802816,Occipital
E151,-0.011838028169014081,-0.08983802816901408,-0.011926056338028162,Occipital
E152,0.011161971830985919,-0.08783802816901408,-0.010926056338028161,Occipital
E153,0.04016197183098592,-0.07383802816901408,-0.02992605633802816,Occipital
E154,0.04316197183098592,-0.06783802816901408,-0.04592605633802816,Cerebellar/Neck
E155,0.04416197183098592,-0.05483802816901408,-0.08592605633802816,Cerebellar/Neck
E156,0.030161971830985918,-0.06283802816901408,-0.10292605633802816,Cerebellar/Neck
E157,0.005161971830985919,-0.06883802816901408,-0.10792605633802817,Cerebellar/Neck
E158,-0.020838028169014082,-0.06483802816901409,-0.10992605633802816,Cerebellar/Neck
E159,-0.03583802816901408,-0.06083802816901408,-0.08692605633802816,Cerebellar/Neck
E160,-0.04583802816901408,-0.05783802816901408,-0.06992605633802816,Cerebellar/Neck
E161,-0.04083802816901408,-0.06883802816901408,-0.05092605633802816,Cerebellar/Neck
E162,-0.03883802816901408,-0.07683802816901408,-0.03192605633802816,Cerebellar/Neck
E163,-0.03183802816901408,-0.08483802816901408,-0.012926056338028161,Occipital
E164,-0.04183802816901408,-0.04983802816901408,-0.10592605633802817,Cerebellar/Neck
E165,-0.05283802816901408,-0.06583802816901409,-0.033926056338028164,Cerebellar/Neck
E166,-0.01283802816901408,-0.01583802816901408,0.08607394366197184,Central
E167,-0.016838028169014082,0.004161971830985919,0.08307394366197184,Central
E168,0.0011619718309859195,0.018161971830985918,0.08307394366197184,Central
E169,0.015161971830985919,0.0071619718309859194,0.08307394366197184,Central
E170,0.0071619718309859194,-0.013838028169014081,0.08707394366197184,Central
E171,-0.02383802816901408,-0.02983802816901408,0.08407394366197184,Central
E172,-0.03083802816901408,-0.01283802816901408,0.08307394366197184,Central
E173,-0.028838028169014082,0.01216197183098592,0.07907394366197183,Central
E174,-0.01583802816901408,0.026161971830985918,0.07807394366197185,Central
E175,0.0011619718309859195,0.03616197183098592,0.07707394366197184,Central
E176,0.01716197183098592,0.026161971830985918,0.07807394366197185,Central
E177,0.03116197183098592,0.013161971830985919,0.07807394366197185,Central
E178,0.02416197183098592,-0.009838028169014081,0.08407394366197184,Central
E179,0.01716197183098592,-0.02683802816901408,0.08507394366197184,Central
E180,0.0071619718309859194,-0.04483802816901408,0.08007394366197183,Parietal
E181,-0.01283802816901408,-0.04483802816901408,0.08007394366197183,Parietal
E182,-0.03283802816901408,-0.04383802816901408,0.07607394366197184,Parietal
E183,-0.04283802816901408,-0.02683802816901408,0.07907394366197183,Central
E184,-0.04783802816901408,-0.006838028169014081,0.07607394366197184,Central
E185,-0.04383802816901408,0.015161971830985919,0.07107394366197184,Central
E186,-0.03083802816901408,0.032161971830985916,0.07207394366197184,Central
E187,-0.01583802816901408,0.04716197183098592,0.07207394366197184,Prefrontal
E188,0.018161971830985918,0.04616197183098592,0.07207394366197184,Prefrontal
E189,0.030161971830985918,0.032161971830985916,0.07307394366197184,Central
E190,0.04316197183098592,-0.0008380281690140805,0.07807394366197185,Central
E191,0.04116197183098592,-0.02183802816901408,0.08007394366197183,Central
E192,-0.06383802816901409,-0.02283802816901408,0.06607394366197183,Temporal
E193,-0.05283802816901408,-0.06783802816901408,0.03707394366197184,Occipital
E194,-0.04983802816901408,-0.06083802816901408,0.05307394366197184,Occipital
E195,-0.03683802816901408,-0.07483802816901408,0.03907394366197184,Occipital
E196,-0.04683802816901408,-0.07583802816901408,0.01807394366197184,Occipital
E197,-0.06383802816901409,-0.06483802816901409,0.01707394366197184,Occipital
E198,-0.06583802816901409,-0.05683802816901408,0.03707394366197184,Occipital
E199,-0.06383802816901409,-0.04683802816901408,0.05307394366197184,Temporal
E200,-0.04183802816901408,-0.053838028169014084,0.06707394366197184,Parietal
E201,-0.03283802816901408,-0.06683802816901407,0.05807394366197184,Occipital
E202,-0.01883802816901408,-0.07783802816901408,0.04307394366197184,Occipital
E203,-0.028838028169014082,-0.08283802816901407,0.02207394366197184,Occipital
E204,-0.03983802816901408,-0.08083802816901409,0.004073943661971839,Occipital
E205,-0.05783802816901408,-0.06983802816901408,0.004073943661971839,Occipital
E206,-0.06983802816901408,-0.05583802816901408,-0.000926056338028161,Occipital
E207,-0.07483802816901408,-0.04983802816901408,0.02007394366197184,Occipital
E208,-0.07783802816901408,-0.04083802816901408,0.03807394366197184,Temporal
E209,-0.07383802816901408,-0.02983802816901408,0.05307394366197184,Temporal
E210,-0.053838028169014084,-0.03983802816901408,0.06807394366197184,Parietal
E211,-0.02283802816901408,-0.05583802816901408,0.07307394366197184,Parietal
E212,-0.011838028169014081,-0.06983802816901408,0.06107394366197184,Occipital
E213,-0.00783802816901408,-0.08483802816901408,0.027073943661971838,Occipital
E214,-0.01983802816901408,-0.08683802816901408,0.008073943661971839,Occipital
E215,-0.04883802816901408,-0.07483802816901408,-0.01392605633802816,Occipital
E216,-0.06083802816901408,-0.06383802816901409,-0.01792605633802816,Occipital
E217,-0.07183802816901408,-0.04783802816901408,-0.01692605633802816,Occipital
E218,-0.07883802816901408,-0.03983802816901408,-0.000926056338028161,Temporal
E219,-0.08283802816901407,-0.03383802816901408,0.01707394366197184,Temporal
E220,-0.08283802816901407,-0.024838028169014082,0.036073943661971836,Temporal
E221,-0.08383802816901408,-0.02183802816901408,-0.005926056338028161,Temporal
E222,-0.06883802816901408,-0.02983802816901408,-0.06492605633802816,Lateral-Inferior/Jaw
E223,-0.07483802816901408,-0.03783802816901408,-0.03492605633802816,Cerebellar/Neck
E224,-0.06683802816901407,-0.04183802816901408,-0.05192605633802816,Cerebellar/Neck
E225,-0.05683802816901408,-0.04583802816901408,-0.07092605633802816,Cerebellar/Neck
E226,-0.06083802816901408,-0.03083802816901408,-0.08292605633802816,Lateral-Inferior/Jaw
E227,-0.06683802816901407,-0.01483802816901408,-0.09092605633802817,Lateral-Inferior/Jaw
E228,-0.07083802816901408,-0.0008380281690140805,-0.09392605633802815,Lateral-Inferior/Jaw
E229,-0.07483802816901408,0.006161971830985919,-0.07392605633802816,Lateral-Inferior/Jaw
E230,-0.07383802816901408,0.02116197183098592,-0.05892605633802816,Lateral-Inferior/Jaw
E231,-0.07783802816901408,0.011161971830985919,-0.041926056338028164,Lateral-Inferior/Jaw
E232,-0.08383802816901408,0.005161971830985919,-0.02492605633802816,Temporal
E233,-0.07883802816901408,-0.03483802816901408,-0.019926056338028162,Temporal
E234,-0.06583802816901409,-0.05183802816901408,-0.03292605633802816,Cerebellar/Neck
E235,-0.05483802816901408,-0.05583802816901408,-0.05292605633802816,Cerebellar/Neck
E236,-0.05083802816901408,-0.04583802816901408,-0.08792605633802816,Cerebellar/Neck
E237,-0.053838028169014084,-0.03383802816901408,-0.10692605633802817,Lateral-Inferior/Jaw
E238,-0.05683802816901408,0.005161971830985919,-0.11292605633802816,Lateral-Inferior/Jaw
E239,-0.06483802816901409,0.01616197183098592,-0.09792605633802816,Lateral-Inferior/Jaw
E240,-0.07083802816901408,0.02416197183098592,-0.07792605633802815,Lateral-Inferior/Jaw
E241,-0.07483802816901408,0.03316197183098592,-0.04392605633802816,Lateral-Inferior/Jaw
E242,-0.05283802816901408,0.02416197183098592,-0.11692605633802816,Lateral-Inferior/Jaw
E243,-0.07683802816901408,0.03116197183098592,0.02807394366197184,Temporal
E244,-0.07083802816901408,0.04416197183098592,0.030073943661971837,Fronto-Temporal
E245,-0.07183802816901408,0.02516197183098592,0.04307394366197184,Temporal
E246,-0.08283802816901407,0.01216197183098592,0.02907394366197184,Temporal
E247,-0.08383802816901408,0.02116197183098592,0.010073943661971839,Temporal
E248,-0.07883802816901408,0.03816197183098592,0.012073943661971839,Temporal
E249,-0.07083802816901408,0.055161971830985916,0.01507394366197184,Fronto-Temporal
E250,-0.061838028169014084,0.05816197183098592,0.03507394366197184,Fronto-Temporal
E251,-0.061838028169014084,0.04016197183098592,0.04707394366197184,Fronto-Temporal
E252,-0.05883802816901408,0.01916197183098592,0.060073943661971836,Central
E253,-0.07483802816901408,0.0071619718309859194,0.04907394366197184,Temporal
E254,-0.08483802816901408,-0.005838028169014081,0.03207394366197184,Temporal
E255,-0.08683802816901408,0.004161971830985919,0.01107394366197184,Temporal
E256,-0.08583802816901408,0.01616197183098592,-0.008926056338028161,Temporal
E257,-0.08083802816901409,0.03616197183098592,-0.007926056338028162,Temporal
E258,-0.07383802816901408,0.05216197183098592,-0.005926056338028161,Inferior-Frontal/Jaw
E259,-0.06683802816901407,0.06716197183098592,-0.003926056338028161,Orbital/Eye
E260,-0.061838028169014084,0.07316197183098593,0.019073943661971838,Fronto-Temporal
E261,-0.04783802816901408,0.055161971830985916,0.052073943661971836,Prefrontal
E262,-0.04683802816901408,0.03516197183098592,0.06207394366197184,Central
E263,-0.06383802816901409,-0.0018380281690140805,0.06307394366197185,Temporal
E264,-0.07683802816901408,-0.01283802816901408,0.05307394366197184,Temporal
E265,-0.08583802816901408,-0.013838028169014081,0.01507394366197184,Temporal
E266,-0.08683802816901408,-0.004838028169014081,-0.007926056338028162,Temporal
E267,-0.07983802816901409,0.02316197183098592,-0.02692605633802816,Temporal
E268,-0.07483802816901408,0.04216197183098592,-0.02992605633802816,Inferior-Frontal/Jaw
E269,-0.06883802816901408,0.05916197183098592,-0.02492605633802816,Inferior-Frontal/Jaw
E270,-0.061838028169014084,0.06216197183098592,-0.06792605633802816,Inferior-Frontal/Jaw
E271,-0.06583802816901409,0.04316197183098592,-0.08392605633802816,Inferior-Frontal/Jaw
E272,-0.07083802816901408,0.04316197183098592,-0.06292605633802816,Inferior-Frontal/Jaw
E273,-0.07183802816901408,0.05116197183098592,-0.04492605633802816,Inferior-Frontal/Jaw
E274,-0.06383802816901409,0.06816197183098592,-0.03992605633802816,Orbital/Eye
E275,-0.04783802816901408,0.07316197183098593,-0.09492605633802816,Orbital/Eye
E276,-0.05083802816901408,0.05416197183098592,-0.10692605633802817,Inferior-Frontal/Jaw
E277,-0.06083802816901408,0.03416197183098592,-0.09992605633802816,Lateral-Inferior/Jaw
E278,-0.05983802816901408,0.07716197183098591,-0.019926056338028162,Orbital/Eye
E279,-0.04783802816901408,0.09516197183098592,-0.01792605633802816,Orbital/Eye
E280,-0.03383802816901408,0.08616197183098592,-0.07692605633802817,Orbital/Eye
Cz,0.0001619718309859195,0.0011619718309859195,0.08607394366197184,Central
